Sender Name;Recipient Name;Amount
Carol Snyder;Dan Ayer;1301.14
Margaret Quinn;Diane Payton;6663.17
Georgia Willis;Barbara Brustmann;304.33
Richard Davila;Calvin Ives;50381.27
Perry Stevens;Jana Gallegos;173.7
Katherine Carnes;James Martin;12409.3
Calvin Ives;Thomas Garrison;963.79
George Heon;Sharon Bartlett;192918.32
Raymond Gomez;Mary Cummings;3845.98
Mary Stevenson;Joanne Brown;50.06
Robert Barton;Javier Plourde;482.66
Thomas Williams;Cynthia Betts;7234.36
Rita Kanagy;Joshua Coleman;28.08
Larry Mincy;Jimmie Roberson;24238.59
Janet Morse;Timothy Wilson;95.29
Michael Treadwell;George Page;4822.27
Clara Braun;Ronald Lee;14.05
Marc Curtis;Mary Woods;6217.27
Mariann Laplant;Benjamin Webley;875.38
Darlene Shultis;Linda Davis;13261.67
Louise Thompson;Dorothy Fernandez;4041.4
Mark Wendt;George Medlin;18129.78
Lisa Hodges;Paul Adams;1329.62
Howard Samayoa;Billie Aldridge;15351.24
Ana Schwenck;Susanne Ellis;0.0
Simone Ainley;Charlie Miron;4900.34
Fred May;Joan Mayo;538.5
Jackie Bell;Nora Boyd;1266.04
Randolph Longoria;Logan Tillman;1285.68
Donald Harrison;Valencia Davis;22858.29
Edwin Redman;Melina Hinson;4656.39
Christine Mccombs;Amanda Richardson;16707.78
Lawrence Devane;Scott Olson;4422.21
Kimberly Cox;Peter Scott;250919.65
Otto Mcnally;Gloria Paulus;1113.03
Joseph Emery;Megan Hernandez;10397.86
Zachary Harrington;Jayne Littman;47740.43
Linda Brown;Vickie Townsend;13168.09
Carrie Pipkin;Roger Scott;75.54
Ramon Merlo;Allan Briggs;33652.01
David Kazarian;Bobby Marquez;302.44
James Orourke;Jesse Steinmetz;727.8
Antoinette Stanely;Travis Kannel;8867.06
Jessica Peters;Bryan Loeffler;91.3
Alicia Sharp;Sandra Taber;5687.39
Julie Fletcher;Raymond Gomez;20300.46
Abbey Moore;John James;814.32
Selma Gustafson;James Halfmann;1261.32
Travis Kannel;Cynthia Shafer;2523.49
Lois Greenwood;Yvonne Thompson;5615.0
Brianne Villalobos;Roxanne Olson;1791.5
Margaret Grantham;John Oates;1559.04
William Layton;Susan Philbert;106.15
Michell Martin;Derek Kidd;2231.39
Richard Colson;Lauren Radin;12462.08
John Larsen;Louise Gorden;1383.74
Jayne Littman;Latoya Johnson;9873.15
Abbey Moore;Melissa Mansi;6651.33
Walter Schaefer;Mark Williams;1062.51
Jaclyn Cowart;Kristin Andrews;1492.48
Abel Frey;Gary Hogan;2897.78
Phillip Farnsworth;Zachary Harrington;4123.39
Eddie Hickman;Ronnie Barber;468.64
Kristin Andrews;Evelyn Wilhelm;174.25
Earl Alexander;Christopher Moore;7119.26
Nikita Hawkins;Mabel Ung;3250.24
Jonathan Baker;Marian Watford;7340.0
Fredrick Dye;Timothy Renfro;121.7
Susann Petzold;Gina Zeigler;2526.89
Rachel Tyson;Beverly Allums;724.25
Jacquelyn Crowder;Brenda Thompson;2227.59
Jack Malone;Jeremy Price;225855.96
Douglas Knapp;Stacy Marinese;2756166.16
Nicolasa George;Kristen Stanton;40841.65
Travis Kannel;Amy Sullivan;28843.86
Mia Reese;Amy Buchanan;877.23
Robert Shannon;Sharon Beall;493.7
Paul King;Michele Willis;4325.37
Susan Snyder;Clarence Palmer;3026.41
Alicia Mansfield;Robert Cadet;4182.26
Reid Gray;Otto Barron;472.34
Raymond Gomez;Linda Grafton;14130.07
Gordon Ny;Sidney Meier;0.0
Michael Santiago;Diane Calvello;18788.79
Joan Collins;Lillian Mccoy;35875.86
Corrine Semien;Billy Carney;654.61
Rick Lowery;Dorothy Henderson;7458.98
Alice Pointer;Linda Scheller;14384.07
Steve Poch;Dona Hall;4671.83
William Doyle;Jimmie Roberson;1402.25
Christopher Moore;Kristy Johnson;9624.9
Michael Horner;Barbara Rowan;1930.01
Rosemary Richardson;Rosa Sandy;50631.75
Dianne Campanile;Michael Partee;1261.05
William Greco;Clara Braun;15057.59
Cherise Orem;William Patterson;8336.04
Joshua Coleman;Bessie Velez;905.41
June Broadwater;Abdul Fernandez;47741.67
Jennifer Robinson;Marie Hayes;4646.22
John Vaughn;Arlene Holling;612.92
Michael Treadwell;Linda Gentry;223.28
Patricia Mathey;Lillian Carpenter;1516.12
John Thurlow;Eva Roundtree;333247.12
Francisca Asquith;Jessica Peters;78.49
Clayton Daley;William Perez;839.35
Lula Allen;James Scott;774.06
Kathy Blankenship;Elisa Sebek;1062.27
Omar Brinkman;Greg George;10476.51
Marilyn Moore;Teresa Wakley;9634.33
Tommy Huertas;Mabel Ung;9066.07
Frank Peckham;Otto Mcnally;8270.44
John Gunn;Gregory Wilson;1276386.92
Tim Broadnax;Ronnie Gallego;12073.59
David Herold;Michael Freeman;42796.26
Chase Tarnowski;Jo West;489.87
Phyllis Battle;Laura Hawley;95.19
Susan Osborne;Olga Barber;7150.33
Ronald More;Hilda Corey;4482.15
Timothy Bake;John West;1644.49
Marsha Nunn;Edward Rogers;236.67
Susan Snyder;David Johnson;4479.6
Richard Brunton;Vickie Townsend;2132.25
Lino Nall;Lakeshia Jacobs;31384.98
William Layton;Ruth Donnelly;2966.9
Shelly Arrington;Brock Parker;547.39
Debra Filthaut;Bonnie Castaneda;8428.86
Peter Friesenhahn;Scott Henson;64.21
Jacqueline Stoops;John Ward;490.72
Norman Wesley;Hilda Gracia;2505.85
John Esquivel;Wallace Ploof;3116.88
Anna Cutshall;Dianne Campanile;8207.27
Andrea Brown;Roger Delgado;3970.25
Clyde Kowalewski;Sam Jackson;4152.39
Jamie Crespo;Paula Turner;51685.17
Shizue Lowry;Donna Bright;2477.72
James Smith;Joan Collins;2887.59
Michael Grimm;Andrea Moore;12135.19
Larry Harvey;Rebecca Myrick;9882.72
Judi Diaz;Carolina Warren;992.25
Samuel Hasson;Russ Brewton;18469.27
Helen Haines;Brenda William;162.93
Christine Brockman;Lela Kibler;58.55
Elizabeth Hoover;James Reinhart;128.36
Ronald Beck;Melva Wells;10614.56
Stephen Poor;James Maldonado;39924.12
Paul Weinberg;Joe Daily;313585.06
Timothy Troia;Mary Slaten;124608.28
Elizabeth Hoover;Helen Walker;35.79
Jennifer Mcreynolds;Lore Perez;4086.26
David Rochford;David Crawford;11273.55
Luke Swanson;Kenneth Jacobson;30682.6
Kristina Payne;Joseph Crockett;2162.96
Felicia Chadwick;Daphne Wilson;193.34
Latoya Johnson;Michael Rebuck;0.0
David Jolley;John West;7826.21
Walter Shepherd;Henry Stoker;32.39
Deanna Jackson;Gloria Hargreaves;90196.83
Nathan Freeman;Kathy Blankenship;188.26
Laura Hawley;Viola Gillilan;903267.4
Mary Layden;Henry Martinez;4777.01
Anthony Berger;William Varney;108.9
Sherry Fox;Mary Osofsky;4407.62
Joseph Lewis;Peter Friesenhahn;2460.57
Lily Francis;Ruth Caceres;6318.65
David Sanderfer;Kenneth Barbee;5633.54
Francisca Asquith;Lorean Whaley;2476.18
Virginia Wade;Shawnee Booth;2149.0
Timothy Troia;Paul Sweeney;9612.47
Kristy Brannon;Larry Vinton;25.28
Michael Greene;Lula Allen;611.62
Kathleen Seid;James Orourke;18502.49
Daniel Mccall;Eugene Gardner;17830.98
Ralph Erickson;Maurice Robinson;650.06
Thomas Berg;Arlene Putzier;819.61
Esmeralda Whitaker;Teresa Poling;5898.48
Dee Spear;Edith Randall;10673.71
William Mason;Lori Cunningham;2690.89
Anthony Guzman;Jan Moons;7651.11
Theodore Mingo;Bryan Loeffler;136171.81
Janet Mcminn;Sue Dearborn;9133.75
Carolyn James;Steven Johnson;3681.93
Alicia Mansfield;William Quigley;115.54
Avis Lautman;Barbara Vassar;2068.58
Hortencia Flowers;Ronald Benson;2056.29
Louise Wilkerson;Eddie Brock;4320.43
Donald Viggiano;William Erdmann;139726.76
Nadia Dreessen;William Springer;196.37
Charles Caldwell;Julian Young;1336.71
Ethel Juliana;Charles Caldwell;30506.57
Elisa Sebek;Lynn Lopez;4886.09
Joseph Eason;Jeannie Emery;4205.52
Eileen Thompson;Joey Spencer;31080.16
Jake Mccarthy;Judy Cardwell;3912.73
Rebecca Hernandez;Stephen Scianna;716.41
Lauren Radin;Heidi Goguen;1102.16
Patricia Whitchurch;Lee Turnquist;598.12
Ester Halfmann;Joe Newman;3088.15
Otis Davis;Henry Martinez;8221.06
Eric Mikolajczyk;Gerard Cunningham;64135.74
Carmen Mcclellan;Lois Jernejcic;1100.63
Jesse Carney;Helen Coombs;18698.0
Charlie Miron;Jocelyn Neal;20438.51
Jason Davis;Pamela Jackson;6320.35
Diane Calvello;Reid Gray;472.59
Louise Walker;Jeremiah Swenson;0.0
Barbara Shaver;Karen Panto;1235.79
Felicia Curran;Mia Reese;61941.28
Shawn Machado;Alice Lankford;6472.03
Derrick Messing;Laura Simmons;143665.56
William Morabito;Robert Parihar;12044.93
Carmen Bernstein;Roberto Freeman;18611.75
Benny Scruggs;Ann Wilson;2994.87
Larry Chilton;John Larsen;274.2
Cheryl Hentz;Jose Hargrove;28392.42
Lowell Washington;Paul Graves;16.57
Olga Barber;Linwood Hendricks;1269.12
James Layne;Nelson Rogers;260.17
Rosemary Pickett;Mark Turpin;184178.47
Shane Ybarra;Marlene Epperly;12781.05
Timmy Elfrink;David Transue;573.26
Barbara Myers;Sharon Bartlett;2148.03
William Wilson;Adella Drouin;5179.76
Ellis Snyder;David Lutz;21342.74
Bruce Gioe;Roberta Olivas;3643.68
Lynda Isaac;Jamie Crespo;1871.61
Martha Rousey;Helen Bush;40284.03
Diana Beaty;Amanda Schwartz;4492.77
George Rogers;George Meister;21041.69
Robert Bradshaw;Jimmie Roberson;1621.33
Beverly Bianco;Michael Ogrady;686.23
Paul Cleghorn;Helen Coombs;270.64
Kristen Stanton;Allan Briggs;2711.32
Richard Waters;Larry Chilton;95.5
Sidney Leonard;Marilyn Moore;1627.18
Paul Bessette;Carl Wagner;3868.42
George Watkins;Danita Stephens;178.13
Tonya Irizarry;Melissa Castro;9052.53
Barbara Muterspaw;Patricia Stallworth;60637.4
Marshall Hinojos;Damon Wheeler;706160.77
Janice Ball;Cheryl Miller;1260.83
Timothy Renfro;John Larsen;2209.28
Gregory Wofford;Janie Leiber;9709.72
Irma Tindall;Erlinda Francis;3336.37
John Cunningham;Phyllis Reeder;15251.9
Theodore Harrelson;Jose Butler;2825.31
Linda Harr;Dorothy Duvall;733.12
John Cephas;Marlene Epperly;2322.65
Joyce Shutt;Moises Young;663.07
Lisa Pratt;James Mcwilliams;76615.55
Fred Clay;Peter Mccalmont;1690.89
Mildred Gilchrist;Lois Greenwood;107069.29
Jayne Littman;Iesha Hargis;300.17
Sarah Beachy;Robert Reed;77.03
Sara Albee;Bonnie Hauser;680.47
Alicia Sharp;Carol Maher;18977.72
Maude Boyd;Robert Hahn;2402210.17
Debbie Tovar;Lois Greenwood;786.48
Vincent Hall;Michael Williams;254.07
Carol Barrocas;Clyde Kowalewski;43463.62
Rigoberto Cupp;Michael Echols;52422.36
Edward Mcmillen;Jonathan Debolt;46261.98
Betty Ayala;Hazel Green;6606.54
Pauline Ahearn;Jacqueline Stoops;12287.24
Thomas Sweigart;Martha Sizer;229.08
Daniel Marks;Alyce Krieger;3743.94
Vicki Hannah;Kristy Brannon;20105.8
James Peralta;Lisa Slemmons;76023.65
Beatrice Burris;Rebecca Anderson;352.02
Fredric Mathews;Carlos Ardoin;2439.47
Elisa Sebek;Herman Jackson;2724.53
Laura Park;Hector Nelson;7214.77
Anthony Berger;Tim Broadnax;798.01
Christine Hill;Anthony James;5058.47
Janet Mcminn;Daniel Ferenz;2348.4
Sandra Cardenas;James Fennel;4773.44
Roberta Robinson;Edward White;36101.93
Patricia Whitchurch;Sarah Frederick;1467.54
Olivia Jackson;Calvin Ives;599.91
John Stephen;Rosemary Richardson;592.22
Kenneth Payton;James Cunningham;3317.31
Nancy Northcutt;Robert Noreen;254.34
Thomas Garza;Donald Randall;0.0
Robert Cadet;Neal Bell;244.82
Patricia Stallworth;Robert Walker;2624.69
David Lind;Geneva Robinson;441.25
Aurora Giles;Jane Liscomb;2817.09
Mathew Gonzales;Julio Jozwiak;1152.01
Kevin Muir;Gary Hogan;4929.54
Carolyn Edwards;Christina Castillo;26772.17
John Boling;Norma Ramirez;4737.94
Debbie Tovar;Timothy Bake;933936.19
Fred Green;Donald Randall;9686.32
Sandra Jackson;Cynthia Shafer;728.57
Marilyn Moore;David Leonard;6851386.54
Heather Lawrence;Mabel Ung;2904.07
Marilyn Branton;Mable Ford;1863.76
Jo Hopkins;James Dodd;245.59
Richard Hicks;Richard Smith;144632.7
Kyle Red;Brian Harris;30.67
Marco Pettit;Peter Scott;8169.52
Helen Wallace;Dawn Moore;7058.63
Linda Gentry;Bernard Bradley;219.94
Jennifer Hartman;John Vaughn;12616.95
Terry Gonzalez;Roberta Byrne;286.86
Michele Rowan;Ashley Ray;7.24
Mary Suriel;John Gunderson;29103.29
Jerry Holt;Terrence Emerson;2423.73
Kevin Martinez;Alisha Seats;855.95
Marjorie Cruz;Lisa Peppers;12583.04
Cindy Curry;Mindi Neira;300.21
Chase Tarnowski;Ralph Demello;4702.62
Rosie Robertson;Ronald Rodriguez;180.74
John Quincy;Wilma Rogers;10757.57
Marguerite Barfield;Rose Martinez;2784.27
Dessie Tang;Naomi Reiss;3332.52
Jose Sanchez;Gwen Kissane;7882.76
Aurora Giles;James Caceres;121.25
David Shumway;Bobby Mastriano;12692.07
William Cummings;Matthew Bracken;35461.7
Tommie Card;Wesley Garcia;1147.61
Bryan Lovett;Marlon Holmes;1018.16
Abel Frey;Jennifer Woolery;1680.64
Sandra Smith;Gina Zeigler;4347.85
Cornell Lewis;Eric Encino;803.89
Clyde Varela;Michael Rebuck;477.23
Kevin Tolbert;Linda Gentry;61135.89
Mary Garcia;Helen Beck;34495.0
Robert Coatney;Robert Mercer;11278.08
Eric Yontz;William Rowell;3603.91
Julia Chavez;Marilyn Mulzer;17125.88
Armando Hayes;Leonard Boger;1590.23
Kenny Flood;Carmen Bernstein;1652.47
Tommie Haymes;Daniel Owen;473.29
Lisa Peppers;Julia Gunn;1326.99
Mariann Dawson;Jack Sheetz;3427.0
Jennifer Vrba;Ronald Lynch;3242.06
Joan Daniel;Janet Jensen;1334.09
Lori Lucas;Thelma Dignan;27185.79
Kenneth James;Lorean Whaley;497.02
Inez Tilley;Verna Barton;300.16
Casey Boyce;Mary Loske;9909.29
Jamie Crespo;Damon Wheeler;14327.25
Cynthia Soto;Julio Wolcott;12408.78
Perry Stevens;Patricia Mathey;16799.02
Robert Haynes;Brenda Lewis;44339.74
Cynthia Hatch;Regina Schuckert;9018.44
Bryan Lovett;Sharon Bartlett;798.47
Carly Thompson;Leo Beaver;12056.34
Shirley Foster;Daniel Ferenz;23963.4
Jason Hobbs;Franklin Krieger;12164.03
Deborah Cassano;Susan Pushard;714.31
Marsha Nunn;Elizabeth Franks;6046.32
Steve Poch;Mary Bones;588.12
Inez Tilley;Jonathan Stuart;396.35
Georgia Rosales;Deborah Feliciano;138483.28
Peggy Baran;Nestor Hayes;0.0
Thelma Dignan;James Fennel;12954.52
Louise Gorden;Javier Plourde;214.28
Lily Francis;Esmeralda Whitaker;272.78
Romaine Kennedy;Michael Berkowitz;11166.31
Roger Gambrell;James Blow;42503.13
Martin Thomas;Ralph Susko;6943.49
Carolina Warren;Anthony Popp;5775.1
Ana Light;David Bathke;1383.67
Nicholas Wilkins;Dean Eddins;3255460.62
Lisa Guillotte;Cathryn Wright;11413.32
Hector Nelson;Alma Walker;15330.33
Kenneth Rodriguez;James Reinhart;5733.28
Kevin Muir;Mary Cummings;480.9
Thomas Cribbin;Elizabeth Hoover;48524.47
Annie Powell;Douglas Gaskin;2020.44
Wayne Wolff;Virginia Wade;18762.52
Yolanda Johnson;Alma Powell;10603.42
Bill Tunnell;Steve Mei;33141.42
Alma Powell;Carol Snyder;12901.84
Shawn Rowland;Pok Brown;1451.45
Alicia Sharp;Kathleen Warwick;0.0
Jacob Schieber;Vincent Miller;6103.45
Jo West;David Bailey;2784845.45
Janet Pangallo;Wanda Pennick;78557.02
Melissa Castro;Anita James;6373.51
Michael Branch;Deborah Young;1187.1
Laurie Cates;Barbara Brustmann;324.44
James Mcdonald;Paula Turner;4051.38
Logan Tillman;Cherise Orem;2525.17
Christina Castillo;Susan Osborne;3746.72
Erica Robbins;Charles Quinter;231.6
Virginia Tyson;John Sauve;3125.51
Iesha Hargis;Andrea Oglesby;19227.0
Mariann Dawson;Brenda William;2333.69
Adam Reeve;Mary Williams;2269.04
Freddie Gallegos;Dorthy Currie;1206.87
David Faul;Aurelia Russell;26304.13
Carol Snyder;Michael Jimenez;158931.42
Shirley Cummings;Vincent Hall;208644.49
Minh Williams;Lori Kurland;2501.26
Sidney Meier;Richard Williamson;493196.02
Helen Walker;Amy Sullivan;149020.13
Jo Mckeller;Alisha Seats;17802.45
George Watkins;Mark Wealer;6475.06
Mattie Young;Nancy Harris;31216.07
Daniel Arbogast;Dorothy Fernandez;6471.91
Nadia Dreessen;Maude Boyd;1738.92
Joseph Draper;Daniel Ferenz;5344.06
Lesli Gunn;Robert Dreese;3580.71
Curtis Evans;Alicia Mansfield;79571.09
Julia Wilkinson;Phillip Farnsworth;1074.38
Kenneth Mott;Neil Kamai;574.62
Jo Benton;Bette Rubio;86.98
Johnette Oliveras;Anthony James;2167.07
Jo West;Patricia Stallworth;209.92
Edna Moran;Paul Dowe;1223.87
David Hughes;John Cunningham;4295.01
Bertha Barlow;Travis Canales;417215.05
Walter Schaefer;Megan Allegrini;7733.7
Kenneth Payton;Bryan Loeffler;16402.01
Tina Timothy;John Kridel;610.96
Iva Edwards;Cecelia Leonelli;14633.44
Cheryl Miller;Cameron Brown;17859.71
Jennifer Perry;Robert Russey;20807.65
Christina Castillo;Kevin Torres;9287.27
Robert Rich;Melvin East;4699.28
Lillian Mccoy;Arlene Nagle;1516.45
Bessie Velez;Arthur Soden;2308.91
Tonya Irizarry;Martha Rousey;19150.73
Stephanie Clements;Marion Smith;3665.18
Steve Brasher;Joanna Briscoe;45397.55
Willie Anderson;Maude Boyd;31870.22
Janet Pangallo;Robert Parihar;1135.15
Crystal Nelson;Donnie Sackett;2357.68
Martha Walston;Jeffery Chavez;11787.15
David Hagan;Jana Gallegos;48732.4
Debbie Tovar;Jennifer Woolery;4649.06
Jenifer Allen;Helen Jensen;14343.41
Stephen Poor;Hugh Goodson;61178.83
Roger Sherrard;Nellie Eads;3071.79
Vincent Paxson;Terrence Emerson;29937.34
Loretta Butler;Jean Vancuren;161.5
Billy Kilmer;Melissa Reese;8478.27
Lorenzo Cleckler;Patricia Stallworth;1435.26
Peter Yi;Richard Williamson;881.84
Joseph Rojas;Sherry Blodgett;1913.16
Lino Nall;James Blow;2316.99
Refugio Harris;Dorothy Duvall;4022.54
Jamie Bristol;Marie Waugh;442.56
Ryan Bridges;Robert Kline;2309.82
Barbara Walter;Donald Petersik;173573.15
Steve Brasher;Joseph Eason;337195.92
Tina Maciel;Kathy Orme;292723.75
Bambi Abramowitz;Cynthia Harkavy;664.43
Richard Williamson;Roger Campbell;383.77
Dennise Francis;Eric Mikolajczyk;4099.74
Grace Phelps;Theodore Harrelson;26155.72
Michael Kelley;Luke Swanson;23320.93
Patrice Paine;Desmond Hahn;599.07
Diane Calvello;Peggy Leatherman;1948.58
Christine Mccombs;Selma Gustafson;0.0
Benjamin Davis;Joseph Yancey;1563.71
David Bathke;Denise Mccoy;6384.69
Jennifer Mcreynolds;Helen Coombs;864.18
Bennie Danielson;Joseph Pugh;1874.28
Stephanie Clements;William Causey;7304.67
Wallace Ploof;Billy Freehan;32952.68
Anthony Berger;Arlene Klein;452.58
James Hightower;Ronald Rodriguez;8786.8
Kenneth William;Mia Reese;8256.99
Lisa Slemmons;Mary Rivera;4157.93
Lorraine White;Gayla Shinn;1817.54
Daniel Mccall;Olivia Jackson;11540.01
George Page;Steve Poch;12087.06
Maria Larmon;Amy Linder;9432.47
Steven Ingram;Amy Burks;7342.67
Steven Head;Yvonne Thompson;12050.06
Kathleen Seid;Melva Wells;5295.64
Steven Hornback;Mary Young;1992.09
Pauline Thomen;Jeffrey Schick;1229.31
Sofia Mclaughlin;Edward Rogers;2108.57
Lucas Scott;Martin Thomas;9385.46
Pauline Cohen;Frederick Tucker;435.2
Nan Toole;Jennifer Woodard;4979.31
Steve Mccall;Robert Hawkins;1219.47
Zachary Barrera;Tameka Bates;1014.54
Joanne Brown;Viola Schell;775.61
Steve Burrington;Leon Highland;63585.7
William Sheets;Brenda William;55932.35
Norma Higgins;Ira Gillis;509.63
Rona Honkanen;Howard Fultz;190307.93
Bertha Barlow;Jose Dejesus;3168.62
Austin Littman;Calvin Howard;184.1
Jeff Lowe;Dorothy Norman;325.06
Horace Anderson;Brent Lopez;3803.27
Brent Lopez;Judi Diaz;8827.83
Marcia Kail;Maurice Gerald;16688.8
Eric Mikolajczyk;Steven Johnson;32966.66
Karen Souder;Terrance Gildea;1045.05
Dwayne Spice;Barbara Rowan;7433.06
Sandra Jackson;David Shumway;256.43
Christopher Hilliard;Judith Haney;2137.26
Catherine Evans;Jacquelyn Crowder;23763.88
Bob Marquez;Tiara Jackson;5436.51
Louis Spataro;Marian Scarbrough;30141.63
Sidney Leonard;Clayton Coleman;434.56
Rebecca Hogg;Terri Girton;19526.71
Joey Braddy;Nathan Freeman;27766.36
Jayne Littman;Thomas Elam;2217.56
James Crider;Christina Castillo;1599.0
William Mason;Arthur Peters;6589.93
Michael Grimm;Deborah Cassano;8249.13
Brenda Ford;Jessica Peters;7018.18
Kelly Lewis;Brent Sandoval;36216.98
Ann Wilson;Edith Randall;695.85
Enrique Brown;Avis Lautman;430.29
Kelly Evans;Justin Burnett;11313.7
Iva Edwards;Jan Moons;1506.31
Larry Chilton;Carly Thompson;628.76
Bambi Abramowitz;Nellie Carrere;36173.06
Lisa Dean;Ruby Bias;1015.36
Derrick Messing;Janice Swims;2772.77
Carolyn Edwards;Michael Freeman;25333.7
Sergio Ayala;Edward Padilla;3547.49
Mary Ortiz;Paul Cleghorn;1737.62
Barbara Rowan;Eric Ledon;263211.55
Bertha Orourke;Carolyn Davis;2911.85
Sean Roger;Lois Jernejcic;33872.0
Janie Leiber;Sam Jackson;11106.33
Patricia Miraglia;Jamie Rayford;64889.44
James Kuan;Francis Vanhofwegen;14252.05
William Quigley;Lucille Jenkins;9140.04
Neal Bell;Donald Viggiano;13938.76
Susanne Ellis;Ricky Scott;3738.42
Regina Poston;Kirk Schuyler;1618.52
Kevin Tucker;David Polowy;973.6
Jesse Payne;Brian Whitten;9481.55
William Taylor;Chad Johns;3542.53
Jason Walker;Sidney Leonard;69.15
Digna Dearing;Leon Highland;14214.23
Steven Head;Susanne Ellis;675.86
Jill Campbell;Kirk Middendorf;6012.62
Refugio Harris;Louise Gorden;13855.55
Minerva Friedman;Edward Hood;1212.86
Raymond Gomez;Shaina Trent;3942.46
Joseph Lewis;John Kilbane;1067.17
Lisa Manns;Susan York;3659.49
Lori Anderson;Robert Parihar;10654.69
Robert Haynes;Heather Simon;7144.79
Ivy Lowenstein;Peggy Leatherman;30265.98
Irma Tindall;Elton Knight;369187.75
Thaddeus Mary;Joseph Lewis;796.91
Harold Cameron;John Jackson;22930.13
Jose Dejesus;Marjorie Cruz;717.6
Anthony Popp;Eloisa Cureton;373215.05
Virginia Tyson;Geraldine Meeker;13187.85
Dona Hall;Nikita Hawkins;3637.23
David Lutz;Michael Grimm;734.23
Daniel Marks;Eugene Gardner;2393.29
Roger Jefferson;Arlene Holling;33.02
Steven Curley;Louise Wood;137332.75
Roma Colson;Melvin East;22680.89
Benny Scruggs;Michael Mullis;614.92
Clarence Webb;Felice White;2472.25
Michael Mullis;Frances Walton;73206.64
Arlene Holling;Jackie Byas;129.94
Lisa Guillotte;Cynthia Soto;15764.58
Mildred Mattox;Corrine Semien;27611.7
Robyn Lillis;Lydia Rodriguez;2745.16
Joe Newman;Jean Hopkins;1074.76
George Heon;Michael Jones;4360.33
James Kurtz;Otis Davis;2182.11
Philip Ray;Matthew Mccurley;5517.7
Laura Simmons;Terry Gonzalez;2588.61
Clayton Coleman;Daniel Arbogast;1360.6
Jason Mitchell;Bill Tunnell;28.2
Karen Barnes;Lynn Lopez;2841.82
Jean Jones;Holly Nelson;413.67
Emmanuel Luna;Lonnie Leeper;1795.14
Thelma Harvey;Nicole Henrich;17238.54
Jonathan Stuart;Monica Gismondi;1801.96
Melvin Rodvold;Veronica Withers;17707.6
Brandi Sukhu;Amy Sullivan;820.96
Richard Williamson;Emily Romo;22301.1
Lupe Honkanen;Jessica Odell;96.64
Roy Croker;Eloisa Cureton;13811.04
Thomas Griswold;Clyde Kowalewski;179558.1
Jacqueline Shockley;William Newton;3167.0
James Wilson;Casey Torres;492.96
Mary Dean;Philip Hill;3309.71
Katherine Mize;Dorothy Watkins;390.34
Esmeralda Whitaker;Denise Rance;3549.71
Viola Gillilan;Thomas Cribbin;28853.81
Rickey Winter;Dessie Tang;622.1
Margaret Guerrero;Alfredo Morris;1417.64
Katherine Carnes;Helen Beck;133.85
Troy Irvine;Joan Daniel;19081.47
Beatrice Corbett;Cynthia Betts;2558.55
Derek Haecker;Stephanie Major;21568.06
Frances Villanueva;Anderson Henderson;118.77
Valerie Northrup;Joyce Shutt;5333.81
Kimberly Crum;Shawn Mccartney;848.52
William Springer;Jake Mccarthy;6072.16
Ira Gillis;Robin Ledbetter;1225.71
Amber Barboza;Carline Fegley;14105.91
Sandra Smith;Clyde Kowalewski;37.16
Carol Maher;Marc Curtis;12139.32
Sharon Beall;Lela Salinas;10880.25
Patricia Stallworth;Serena Bluhm;9496.34
Johanna Tucker;Kimberly Ramirez;144.48
Manuel Wilson;June Broadwater;994.77
Richard Waters;Gerald Toler;1677.94
Kimberly Ramirez;Mandy Smith;403.09
Jerry Huggins;Jo West;4963.49
Richard Williamson;Jean Hopkins;736.53
Charles Hayes;Arlene Putzier;1150.21
Robert Rich;Dusty Jackson;898.18
Claire Gurley;Phil Rodgers;263.52
Paul Greene;Debbi Pezzuti;15077.49
Kenneth William;Frances Shepard;8111.57
Roma Colson;Calvin Mosby;149.84
Mary Young;Terry Gonzalez;11085.44
Ruth Allen;Carol Edwards;2785.72
Ward Tartaglione;Carol Snyder;1675.85
Irene Regalado;Mark Turpin;41.0
Sheri Rupe;Kathy Orme;844.0
Wilma Rogers;William Geisler;136424.93
John Kilbane;Robert Haynes;98.22
David Jolley;Mary Woods;477.48
Debra Filthaut;Verna Barton;4132.69
Kevin Tolbert;John Ward;716762.03
Janet Steinmetz;Daniel Owen;12043.3
Corey Jackson;Heidi Sheperd;11071.17
Ana Schwenck;Nan Toole;9097.91
Zella Sabatelli;Janet Morse;5864.14
Melissa Rios;John Stephen;452369.42
Elsie Holman;Bobby Mastriano;2269.97
Nell Edes;Jayne Littman;15075.54
Wayne Smith;Kristen Mcafee;35235.94
Jon Burns;Jenny Moore;13471.59
Nicole Henrich;Philip Windham;5954.42
Michael Spann;Wanda Sewell;4599.49
Crystal Graves;Walter Schaefer;57577.8
Randell Fortune;John Estrada;465.42
Mary Liefer;Bryan Lovett;41.88
Susan Guerrero;Brenda Thompson;606.3
Paul Cleghorn;Deanna Jackson;16457.87
Vincent Miller;Jacki Crosby;3081.66
Ruth Donnelly;Cornell Lewis;4208.06
Anthony Musgrave;Timothy Betancourt;236.32
Michael Lynn;Arthur Maasch;225142.29
Hilda Luckenbach;Cynthia Betts;248457.68
Erwin Nugent;Jeremy Price;83.94
Mattie Young;Rolanda Schiller;13502.8
Tony Thompson;Michelle Galimi;120753.58
Anthony Reed;Shantay Finnegan;23529.77
Daniel Bud;Shawn Rowland;12096.03
